Parent - Child Weight Probability Score
PPARD -| NFATC1 -0.051483 0.997453 -0.100515
SMAD3 -| NFATC1 -0.061132 0.963086 -0.115241
TCF3 -| NFATC1 -0.048829 0.953737 -0.091155
TFPT -| NFATC1 -0.024545 0.517831 -0.024879
EGR2 -| NFATC2 -0.034443 0.904940 -0.061009
FOS -| NFATC2 -0.035555 0.966366 -0.067254
IRF8 -| NFATC2 -0.061579 0.984840 -0.118706
JUN -| NFATC2 -0.041175 0.927493 -0.074751
KLF10 -| NFATC2 -0.046582 0.993803 -0.090614
MAFB -| NFATC2 -0.021325 0.628101 -0.026217
NFATC1 -| NFATC2 -0.030859 0.612035 -0.036968
NFATC2 -| NFATC2 -0.050296 0.978888 -0.096369
PPARD -| NFATC2 -0.015509 0.834215 -0.025324
RXRB -| NFATC2 -0.038081 0.966858 -0.072068
SMAD4 -| NFATC2 -0.096197 1.000000 -0.188293
SNAI3 -| NFATC2 -0.039333 0.842790 -0.064886
BCL6 -| NFE2L1 -0.082780 0.999276 -0.161913
HOXA10 -| NFE2L1 -0.095274 0.999455 -0.186384
KLF13 -| NFE2L1 -0.131650 1.000000 -0.257686
PPARG -| NFE2L1 -0.066081 0.990029 -0.128056
RUNX1 -| NFE2L1 -0.089216 0.999985 -0.174625
SMAD3 -| NFE2L1 -0.070716 0.983045 -0.136070
SP3 -| NFE2L1 -0.078119 0.999983 -0.152906
TCFL5 -| NFE2L1 -0.044589 0.817859 -0.071381
EGR2 -| NFYA -0.026889 0.616285 -0.032436
FOSB -> NFYA 0.148715 0.998028 0.290516
MAFB -| NFYA -0.027110 0.635593 -0.033727
MYB -| NFYA -0.044599 0.955321 -0.083395
NFYA -> NFYA 0.252135 1.000000 0.493520
RXRB -| NFYA -0.031813 0.796494 -0.049597
SMAD3 -| NFYA -0.040290 0.847273 -0.066818
SNAI1 -| NFYA -0.049943 0.961357 -0.093980
SP3 -| NFYA -0.041726 0.998240 -0.081530
STAT1 -> NFYA 0.276102 1.000000 0.540432
TRIM28 -> NFYA 0.233043 1.000000 0.456151
CEBPD -| NFYC -0.039350 0.919622 -0.070831
MYB -| NFYC -0.068155 0.991802 -0.132310
RXRB -| NFYC -0.031282 0.641328 -0.039268
SMAD4 -> NFYC 0.255720 1.000000 0.500537
STAT1 -> NFYC 0.245151 1.000000 0.479849
TRIM28 -> NFYC 0.150206 0.978355 0.287645
FLI1 -| PPARD -0.042083 0.954839 -0.078652
KLF10 -| PPARD -0.121612 1.000000 -0.238039
NFYA -> PPARD 0.169459 0.981121 0.325431
NFYC -> PPARD 0.208878 1.000000 0.408850
PPARD -> PPARD 0.209013 1.000000 0.409115
PRDM1 -> PPARD 0.149112 0.972432 0.283820
RUNX1 -| PPARD -0.066257 0.999620 -0.129639
SP3 -| PPARD -0.027348 0.897468 -0.048042
STAT1 -> PPARD 0.299925 1.000000 0.587064
TRIM28 -| PPARD -0.098464 1.000000 -0.192731
BCL6 -> PPARG 0.143839 0.876300 0.246719
CBFB -> PPARG 0.325259 1.000000 0.636650
FOS -> PPARG 0.186612 0.985066 0.359814
FOSB -| PPARG -0.163580 0.790871 -0.253226
HOXA13 -> PPARG 0.129025 0.528370 0.133440
KLF10 -| PPARG -0.278373 0.999999 -0.544878
LMO2 -> PPARG 0.256717 0.999983 0.502480
MAFB -> PPARG 0.194195 0.997700 0.379236
MYB -| PPARG -0.183494 0.951915 -0.341894
NFATC2 -| PPARG -0.152695 0.806941 -0.241178
NFE2L1 -> PPARG 0.120379 0.518410 0.122151
NFYA -> PPARG 0.199823 0.996153 0.389623
NFYC -> PPARG 0.381996 1.000000 0.747707
PPARD -> PPARG 0.286506 1.000000 0.560798
PRDM1 -> PPARG 0.203570 0.997266 0.397371
RREB1 -| PPARG -0.131311 0.722996 -0.185827
RUNX1 -| PPARG -0.226817 0.999464 -0.443725
RXRB -> PPARG 0.189401 0.985947 0.365517
SMAD4 -> PPARG 0.174833 0.975520 0.333834
SNAI1 -> PPARG 0.140693 0.695803 0.191616
SP3 -| PPARG -0.204171 0.997514 -0.398643
TFPT -> PPARG 0.316337 1.000000 0.619187
FOSB -| PRDM1 -0.074837 0.990140 -0.145040
IRF8 -| PRDM1 -0.078893 0.999130 -0.154289
KLF10 -| PRDM1 -0.173684 1.000000 -0.339964
MYB -| PRDM1 -0.102066 0.999950 -0.199771
MYEF2 -| PRDM1 -0.090654 0.999936 -0.177432
NFATC2 -| PRDM1 -0.050653 0.982300 -0.097392
RUNX1 -| PRDM1 -0.010756 0.719424 -0.015147
SMAD3 -| PRDM1 -0.022858 0.592229 -0.026497
SPIB -| PRDM1 -0.048024 0.868934 -0.081681
TRIM28 -| PRDM1 -0.037079 0.999620 -0.072550
CEBPD -> RREB1 0.140725 0.842917 0.232182
ETS1 -| RREB1 -0.069623 0.940739 -0.128201
FOSB -> RREB1 0.140763 0.967695 0.266624
IRF8 -> RREB1 0.125455 0.676568 0.166139
JUN -| RREB1 -0.054123 0.814764 -0.086315
NFATC2 -| RREB1 -0.063308 0.932053 -0.115498
NFYC -> RREB1 0.168939 0.985026 0.325724
RUNX1 -> RREB1 0.165590 0.977527 0.316837
RXRB -| RREB1 -0.040936 0.656675 -0.052618
SMAD4 -> RREB1 0.175271 0.999024 0.342734
SNAI1 -| RREB1 -0.108148 0.999968 -0.211678
SP3 -| RREB1 -0.091635 0.999966 -0.179358
TRIM28 -> RREB1 0.208113 0.999998 0.407353
CEBPD -> RUNX1 0.170636 0.972347 0.324761
FLI1 -| RUNX1 -0.019436 0.616009 -0.023435
FOS -| RUNX1 -0.088510 0.999996 -0.173246
FOSB -> RUNX1 0.138120 0.938508 0.253728
HOXA10 -| RUNX1 -0.031691 0.578341 -0.035875
JUN -| RUNX1 -0.047533 0.922476 -0.085827
RREB1 -> RUNX1 0.192479 0.993574 0.374332
RUNX1 -> RUNX1 0.191367 0.985802 0.369257
RXRB -| RUNX1 -0.047536 0.959926 -0.089316
SMAD4 -> RUNX1 0.195160 0.999831 0.381935
SNAI1 -| RUNX1 -0.051515 0.936669 -0.094448
SP3 -| RUNX1 -0.077881 0.999996 -0.152442
STAT1 -> RUNX1 0.256999 1.000000 0.503041
TFPT -| RUNX1 -0.044761 0.875435 -0.076699
TRIM28 -> RUNX1 0.268433 1.000000 0.525422
CBFB -| RXRB -0.031664 0.845835 -0.052424
EGR2 -| RXRB -0.040189 0.831282 -0.065393
FOS -| RXRB -0.045306 0.949618 -0.084212
KLF10 -| RXRB -0.048930 0.972654 -0.093156
MYB -| RXRB -0.122589 0.999988 -0.239948
MYEF2 -| RXRB -0.095219 0.999826 -0.186346
PPARG -| RXRB -0.044343 0.889827 -0.077233
SMAD3 -| RXRB -0.040045 0.709983 -0.055650
SNAI1 -| RXRB -0.049985 0.854890 -0.083642
STAT1 -> RXRB 0.409985 0.999999 0.802491
TRIM28 -| RXRB -0.022123 0.903080 -0.039107
BCL6 -> SMAD3 0.108799 0.663129 0.141220
CBFB -> SMAD3 0.096114 0.604731 0.113768
EGR2 -| SMAD3 -0.119049 0.786082 -0.183175
FLI1 -> SMAD3 0.152932 0.989488 0.296196
FOS -| SMAD3 -0.096724 0.529307 -0.100211
IRF8 -> SMAD3 0.116100 0.709914 0.161329
JUN -> SMAD3 0.147299 0.973441 0.280662
KLF13 -> SMAD3 0.224301 0.999998 0.439038
MYB -| SMAD3 -0.100787 0.576803 -0.113790
NFYA -> SMAD3 0.138002 0.980448 0.264839
SMAD3 -> SMAD3 0.165843 0.994507 0.322833
SNAI1 -| SMAD3 -0.103668 0.520279 -0.105573
SP3 -| SMAD3 -0.121967 0.937023 -0.223699
SPI1 -> SMAD3 0.224091 0.999999 0.438628
STAT1 -> SMAD3 0.214196 0.999992 0.419256
TCFL5 -> SMAD3 0.157111 0.976860 0.300408
TRIM28 -> SMAD3 0.310732 1.000000 0.608216
BCL6 -| SMAD4 -0.030965 0.828556 -0.050219
FLI1 -> SMAD4 0.097585 0.978030 0.186814
FOSB -> SMAD4 0.113588 0.999980 0.222328
SMAD3 -| SMAD4 -0.042079 0.955065 -0.078663
SMAD4 -> SMAD4 0.169023 1.000000 0.330839
SNAI1 -| SMAD4 -0.039118 0.913205 -0.069923
SPI1 -> SMAD4 0.141372 1.000000 0.276716
STAT1 -> SMAD4 0.192387 1.000000 0.376572
TCFL5 -> SMAD4 0.087608 0.943063 0.161718
TRIM28 -> SMAD4 0.181579 1.000000 0.355416
CBFB -> SNAI1 0.152343 0.933455 0.278348
EGR2 -> SNAI1 0.188415 0.999327 0.368549
FLI1 -| SNAI1 -0.129300 0.813186 -0.205807
FOS -> SNAI1 0.174481 0.990435 0.338258
FOSB -> SNAI1 0.143596 0.741483 0.208409
KLF13 -> SNAI1 0.164787 0.982615 0.316940
LMO2 -> SNAI1 0.185366 0.997153 0.361795
MYB -| SNAI1 -0.380911 1.000000 -0.745582
NFYC -| SNAI1 -0.107414 0.635775 -0.133670
RUNX1 -| SNAI1 -0.235675 0.999945 -0.461277
SMAD4 -> SNAI1 0.200159 0.999048 0.391412
SP3 -> SNAI1 0.358400 1.000000 0.701521
STAT1 -> SNAI1 0.369999 1.000000 0.724224
TCF3 -> SNAI1 0.116290 0.602390 0.137118
TRIM28 -> SNAI1 0.162541 0.989896 0.314938
FLI1 -> SNAI3 0.487715 1.000000 0.954638
FOS -> SNAI3 0.238872 0.998924 0.467056
HOXA13 -> SNAI3 0.145833 0.562796 0.160650
JUN -> SNAI3 0.181064 0.935395 0.331513
KLF13 -> SNAI3 0.245681 0.999414 0.480605
LMO2 -| SNAI3 -0.170049 0.924698 -0.307784
MAFB -| SNAI3 -0.174761 0.882485 -0.301873
MYB -| SNAI3 -0.340316 0.999995 -0.666121
MYEF2 -| SNAI3 -0.172299 0.835452 -0.281758
NFE2L1 -| SNAI3 -0.164027 0.795293 -0.255338
NFYC -> SNAI3 0.149286 0.820702 0.239815
PPARG -> SNAI3 0.142134 0.638407 0.177610
PRDM1 -> SNAI3 0.307773 1.000000 0.602424
RREB1 -| SNAI3 -0.174771 0.918211 -0.314112
RUNX1 -| SNAI3 -0.174876 0.938889 -0.321378
SNAI1 -> SNAI3 0.134952 0.516851 0.136527
SP3 -> SNAI3 0.203489 0.990666 0.394585
STAT1 -> SNAI3 0.370542 1.000000 0.725286
TCF3 -| SNAI3 -0.143470 0.620840 -0.174347
TFPT -> SNAI3 0.294691 0.999987 0.576811
TRIM28 -| SNAI3 -0.196607 0.986423 -0.379606
BCL6 -| SP3 -0.037123 0.931518 -0.067687
CEBPD -> SP3 0.156869 1.000000 0.307051
ETS1 -| SP3 -0.032825 0.728866 -0.046830
FOS -| SP3 -0.027161 0.744027 -0.039555
FOSB -> SP3 0.098902 0.995370 0.192692
HOXA13 -| SP3 -0.052616 0.992803 -0.102247
NFYC -> SP3 0.117556 0.999025 0.229877
RREB1 -> SP3 0.093440 0.678448 0.124085
SMAD3 -| SP3 -0.044813 0.963985 -0.084556
SMAD4 -> SP3 0.151423 1.000000 0.296391
SNAI1 -| SP3 -0.029673 0.599090 -0.034796
SP3 -> SP3 0.158427 1.000000 0.310099
STAT1 -> SP3 0.175242 1.000000 0.343013
TCFL5 -> SP3 0.093538 0.965625 0.176794
TRIM28 -> SP3 0.169900 1.000000 0.332557
CEBPD -> SPI1 0.170307 0.997970 0.332676
KLF10 -| SPI1 -0.113502 1.000000 -0.222165
MYEF2 -| SPI1 -0.073780 0.994290 -0.143590
NFATC2 -| SPI1 -0.041928 0.709535 -0.058231
NFYC -> SPI1 0.163523 0.896906 0.287076
PPARD -> SPI1 0.199040 0.999987 0.389589
RXRB -| SPI1 -0.036614 0.698511 -0.050060
SNAI1 -| SPI1 -0.042258 0.635121 -0.052533
SP3 -| SPI1 -0.035375 0.953942 -0.066054
SPI1 -> SPI1 0.181803 0.995866 0.354384
STAT1 -> SPI1 0.281772 1.000000 0.551530
TRIM28 -| SPI1 -0.027085 0.872304 -0.046245
FOS -| SPIB -0.049242 0.967891 -0.093289
HOXA10 -| SPIB -0.047934 0.847923 -0.079555
HOXA13 -| SPIB -0.075980 0.979812 -0.145718
JUN -| SPIB -0.054699 0.941040 -0.100753
MAFB -| SPIB -0.057536 0.983886 -0.110804
NFE2L1 -| SPIB -0.059777 0.968545 -0.113325
NFYC -| SPIB -0.030137 0.948358 -0.055943
PPARG -| SPIB -0.024646 0.524877 -0.025320
PRDM1 -| SPIB -0.060699 0.973198 -0.115625
SNAI1 -| SPIB -0.058856 0.914335 -0.105334
TCF3 -| SPIB -0.072190 0.994318 -0.140500
TFPT -| SPIB -0.026884 0.529124 -0.027844
FOSB -> STAT1 0.115435 0.999933 0.225933
KLF10 -| STAT1 -0.021648 0.574933 -0.024361
NFE2L1 -| STAT1 -0.032915 0.811405 -0.052276
NFYC -> STAT1 0.120531 0.999679 0.235847
SMAD4 -> STAT1 0.159231 1.000000 0.311673
SNAI1 -| STAT1 -0.051509 0.992072 -0.100023
SP3 -| STAT1 -0.067305 0.999998 -0.131740
SPI1 -> STAT1 0.120770 0.999655 0.236310
STAT1 -> STAT1 0.208407 1.000000 0.407928
TRIM28 -> STAT1 0.185973 1.000000 0.364017
CEBPB -| TCF3 -0.067291 0.990836 -0.130506
