Parent	Child	-	Weight	Probability	Score
G99	G4	-1	-0.079413	0.628907	-0.15286
G2	G5	1	0.100439	0.664041	0.204133
G3	G5	-1	-0.133024	0.957789	-0.389956
G7	G5	1	0.129316	0.973229	0.385197
G12	G5	1	0.18587	0.998047	0.567774
G13	G5	1	0.098632	0.554352	0.167347
G17	G5	-1	-0.096234	0.696557	-0.205164
G22	G5	-1	-0.091677	0.591313	-0.165918
G23	G5	-1	-0.119841	0.837211	-0.307082
G24	G5	1	0.100799	0.718697	0.221727
G25	G5	-1	-0.146799	0.879664	-0.395236
G27	G5	1	0.181179	0.997617	0.553207
G28	G5	1	0.08857	0.617802	0.167475
G35	G5	1	0.216184	0.999987	0.661659
G38	G5	1	0.105221	0.630636	0.203094
G40	G5	1	0.129302	0.970029	0.383889
G45	G5	1	0.121349	0.948073	0.352121
G48	G5	-1	-0.147619	0.979895	-0.442728
G49	G5	-1	-0.109256	0.794927	-0.265819
G52	G5	1	0.199106	0.999888	0.609327
G56	G5	-1	-0.086174	0.603179	-0.159089
G57	G5	1	0.084783	0.600725	0.155883
G59	G5	1	0.083587	0.50296	0.128673
G61	G5	1	0.096285	0.570045	0.167991
G63	G5	1	0.156961	0.997223	0.479071
G64	G5	1	0.073058	0.516782	0.115556
G65	G5	-1	-0.100704	0.768438	-0.236849
G67	G5	1	0.101589	0.74944	0.233023
G72	G5	1	0.108931	0.752066	0.250741
G75	G5	1	0.141173	0.969481	0.418896
G78	G5	1	0.087756	0.523128	0.140507
G81	G5	1	0.092499	0.686106	0.194242
G83	G5	-1	-0.126811	0.958875	-0.372164
G84	G5	1	0.118324	0.766987	0.277763
G85	G5	-1	-0.116344	0.899913	-0.320449
G87	G5	1	0.092202	0.580118	0.163709
G88	G5	1	0.127197	0.813633	0.316754
G89	G5	-1	-0.116251	0.834276	-0.29684
G91	G5	1	0.115198	0.928365	0.327325
G92	G5	1	0.094466	0.716379	0.207125
G96	G5	-1	-0.094836	0.799339	-0.232017
G99	G5	1	0.141517	0.986146	0.427135
G100	G5	-1	-0.112157	0.916525	-0.314621
G1	G6	1	0.124287	0.902565	0.343337
G3	G6	1	0.065654	0.568935	0.114325
G7	G6	1	0.062339	0.557288	0.10633
G9	G6	-1	-0.139912	0.891103	-0.381592
G11	G6	-1	-0.126514	0.782713	-0.30308
G12	G6	-1	-0.072624	0.568962	-0.126467
G15	G6	1	0.162876	0.945906	0.471542
G16	G6	-1	-0.07973	0.551604	-0.134605
G18	G6	1	0.126433	0.969548	0.375186
G27	G6	1	0.08486	0.730363	0.189696
G28	G6	-1	-0.072631	0.540389	-0.120129
G29	G6	-1	-0.077127	0.606982	-0.143284
G40	G6	1	0.06739	0.633348	0.130634
G43	G6	-1	-0.110836	0.947371	-0.321377
G45	G6	-1	-0.088533	0.822801	-0.222953
G46	G6	-1	-0.065794	0.539924	-0.108727
G49	G6	-1	-0.102074	0.834394	-0.260675
G50	G6	-1	-0.08048	0.584037	-0.14386
G58	G6	1	0.077363	0.589561	0.139598
G59	G6	1	0.100933	0.677045	0.209155
G64	G6	-1	-0.080598	0.660819	-0.163013
G67	G6	-1	-0.100928	0.812505	-0.250987
G68	G6	1	0.127989	0.970673	0.380242
G71	G6	-1	-0.120215	0.924552	-0.340178
G73	G6	1	0.107203	0.761513	0.249861
G75	G6	-1	-0.102903	0.861706	-0.271395
G82	G6	1	0.092177	0.606462	0.171096
G85	G6	1	0.081303	0.722039	0.179674
G90	G6	-1	-0.066128	0.574418	-0.11626
G93	G6	1	0.081709	0.76769	0.191987
G98	G6	1	0.119999	0.970589	0.356475
G99	G6	-1	-0.101217	0.878398	-0.27212
G100	G6	-1	-0.059173	0.530347	-0.09605
G1	G7	1	0.099773	0.614346	0.187604
G7	G7	-1	-0.083889	0.643852	-0.165314
G8	G7	1	0.074812	0.519183	0.118879
G18	G7	-1	-0.193299	0.995525	-0.588974
G20	G7	1	0.133015	0.70173	0.285685
G21	G7	1	0.110805	0.656089	0.222504
G24	G7	1	0.183522	0.995325	0.559075
G26	G7	1	0.106095	0.820778	0.266523
G27	G7	1	0.15017	0.96596	0.443973
G31	G7	-1	-0.09786	0.570511	-0.170877
G32	G7	-1	-0.129665	0.67114	-0.266349
G35	G7	-1	-0.115755	0.882984	-0.312831
G40	G7	1	0.12394	0.931144	0.353219
G42	G7	-1	-0.083996	0.609965	-0.156812
G47	G7	1	0.100253	0.759388	0.233012
G51	G7	1	0.091478	0.659349	0.184606
G52	G7	1	0.226077	0.999976	0.691929
G55	G7	1	0.163685	0.984258	0.493098
G58	G7	1	0.084261	0.536659	0.138401
G67	G7	1	0.134764	0.887636	0.366119
G68	G7	-1	-0.150576	0.961062	-0.442918
G69	G7	1	0.173202	0.990055	0.524841
G76	G7	1	0.111156	0.832754	0.283313
G78	G7	1	0.09988	0.550177	0.168189
G85	G7	1	0.087257	0.652832	0.174349
G89	G7	1	0.122369	0.826536	0.309562
G92	G7	1	0.103974	0.734054	0.233598
G93	G7	1	0.173339	0.997993	0.529467
G94	G7	1	0.16309	0.981902	0.49013
G95	G7	1	0.171257	0.989667	0.518743
G96	G7	1	0.108272	0.850847	0.281957
G98	G7	1	0.078108	0.577635	0.138091
G3	G8	1	0.080012	0.614431	0.150467
G6	G8	-1	-0.122587	0.666838	-0.250196
G12	G8	1	0.205406	0.999229	0.628195
G13	G8	1	0.093862	0.508624	0.146118
G17	G8	1	0.098253	0.689148	0.207241
G21	G8	-1	-0.098825	0.585136	-0.176986
G25	G8	-1	-0.104589	0.609768	-0.195194
G27	G8	1	0.112506	0.845025	0.290979
G28	G8	1	0.202632	0.999598	0.619941
G31	G8	1	0.140603	0.885472	0.381052
G33	G8	1	0.106921	0.656264	0.214763
G38	G8	1	0.124708	0.711887	0.27172
G47	G8	1	0.070295	0.51923	0.111712
G48	G8	-1	-0.108431	0.807155	-0.267872
G52	G8	1	0.121416	0.934886	0.347418
G53	G8	-1	-0.152084	0.962205	-0.447885
G58	G8	1	0.096217	0.653633	0.192486
G68	G8	1	0.076276	0.535571	0.125032
G73	G8	1	0.109782	0.669845	0.225071
G74	G8	1	0.081284	0.536639	0.133506
G75	G8	1	0.137256	0.953692	0.400641
G80	G8	1	0.135659	0.778408	0.3232
G82	G8	1	0.118577	0.677054	0.24572
G84	G8	1	0.143472	0.872777	0.383252
G85	G8	1	0.090122	0.7075	0.195153
G90	G8	-1	-0.170694	0.996804	-0.520769
G95	G8	1	0.122634	0.90047	0.337983
G2	G9	1	0.080957	0.537845	0.133269
G7	G9	-1	-0.06386	0.530786	-0.103745
G8	G9	1	0.066673	0.503739	0.102795
G19	G9	1	0.094548	0.569795	0.164887
G24	G9	-1	-0.111519	0.849971	-0.290114
G32	G9	-1	-0.123338	0.706801	-0.266814
G37	G9	-1	-0.106103	0.892836	-0.289944
G38	G9	-1	-0.102062	0.626973	-0.195853
G39	G9	1	0.11619	0.7686	0.273328
G40	G9	1	0.077925	0.674597	0.160892
G45	G9	-1	-0.110605	0.9162	-0.310157
G47	G9	-1	-0.073286	0.607534	-0.136272
G49	G9	1	0.09142	0.675496	0.189007
G51	G9	1	0.073867	0.545923	0.123423
G55	G9	1	0.098554	0.791338	0.238699
G57	G9	-1	-0.072419	0.512143	-0.113517
G58	G9	1	0.094682	0.674564	0.195482
G60	G9	-1	-0.090318	0.626328	-0.173138
G63	G9	-1	-0.06137	0.504356	-0.094734
G66	G9	1	0.11833	0.858762	0.311016
G79	G9	1	0.091306	0.597321	0.166926
G80	G9	1	0.101358	0.610695	0.189452
G83	G9	-1	-0.078924	0.6786	-0.163923
G84	G9	1	0.081026	0.531583	0.131829
G85	G9	-1	-0.074135	0.61184	-0.138829
G87	G9	-1	-0.093195	0.602142	-0.171753
G91	G9	1	0.074475	0.610805	0.139229
G92	G9	1	0.126912	0.931477	0.361817
G95	G9	1	0.126314	0.936365	0.362003
G99	G9	1	0.120808	0.945341	0.349542
G2	G10	-1	-0.139754	0.850665	-0.363865
G5	G10	-1	-0.074247	0.556352	-0.126429
G15	G10	-1	-0.102926	0.546864	-0.172274
G16	G10	-1	-0.130005	0.816109	-0.324732
G22	G10	-1	-0.202524	0.989995	-0.613655
G26	G10	1	0.13875	0.968517	0.411298
G27	G10	-1	-0.107614	0.776928	-0.255898
G28	G10	1	0.194518	0.998003	0.594165
G31	G10	1	0.200749	0.994397	0.610984
G34	G10	-1	-0.231001	0.998959	-0.706279
G35	G10	1	0.168288	0.996134	0.513083
G36	G10	1	0.086342	0.618289	0.163392
G37	G10	1	0.157131	0.988989	0.475628
G40	G10	1	0.140905	0.974439	0.420241
G43	G10	1	0.199366	0.999871	0.610113
G46	G10	1	0.135956	0.962547	0.40053
G49	G10	1	0.134979	0.902732	0.372941
G51	G10	-1	-0.091595	0.655858	-0.183865
G52	G10	1	0.12084	0.916738	0.339057
G53	G10	1	0.086835	0.579109	0.153911
G55	G10	-1	-0.105232	0.768474	-0.24751
G57	G10	-1	-0.229163	0.999866	-0.701296
G63	G10	-1	-0.077556	0.588179	-0.139619
G64	G10	1	0.08879	0.60876	0.165434
G66	G10	-1	-0.156088	0.953728	-0.455628
G67	G10	-1	-0.08916	0.600001	-0.163733
G72	G10	1	0.094051	0.578347	0.166482
G83	G10	-1	-0.077707	0.569047	-0.13534
G85	G10	1	0.196184	0.998938	0.599816
G87	G10	-1	-0.17429	0.952932	-0.508336
G91	G10	1	0.115068	0.889721	0.313345
G94	G10	1	0.08072	0.537426	0.132774
G95	G10	1	0.188997	0.996589	0.576482
G97	G10	-1	-0.179409	0.973925	-0.534792
G98	G10	1	0.156949	0.989066	0.475116
G99	G10	-1	-0.071681	0.50757	-0.111357
G2	G11	-1	-0.073421	0.570623	-0.128228
G4	G11	1	0.117676	0.957911	0.345007
G7	G11	1	0.074992	0.778592	0.178706
G10	G11	-1	-0.083684	0.741911	-0.190025
G17	G11	-1	-0.074193	0.629393	-0.142922
G27	G11	-1	-0.093618	0.863929	-0.247545
G29	G11	1	0.06544	0.538677	0.107892
G37	G11	-1	-0.081072	0.79649	-0.197636
G41	G11	-1	-0.083276	0.638452	-0.162729
G60	G11	-1	-0.1476	0.989876	-0.447182
G63	G11	-1	-0.069496	0.694638	-0.147753
G64	G11	-1	-0.135605	0.991185	-0.411383
G71	G11	1	0.075454	0.608611	0.140551
G72	G11	-1	-0.099932	0.819613	-0.250684
G80	G11	1	0.076072	0.527987	0.122932
G82	G11	-1	-0.079107	0.557631	-0.135013
G85	G11	1	0.143126	0.997996	0.437182
G90	G11	1	0.055841	0.506656	0.086593
G95	G11	1	0.064307	0.576532	0.113475
G96	G11	1	0.099563	0.942517	0.287213
G97	G11	-1	-0.066656	0.516587	-0.10539
G98	G11	-1	-0.076205	0.756205	-0.176375
G1	G12	1	0.155127	0.93604	0.444424
G3	G12	1	0.090355	0.700799	0.193803
G11	G12	-1	-0.182247	0.922838	-0.514757
G13	G12	1	0.125166	0.663849	0.254315
G17	G12	-1	-0.11946	0.833379	-0.304705
G22	G12	1	0.099234	0.61316	0.186229
G29	G12	1	0.108806	0.752023	0.250438
G31	G12	-1	-0.168952	0.966553	-0.499808
G34	G12	-1	-0.093244	0.537777	-0.153476
G39	G12	1	0.175234	0.971884	0.521252
G40	G12	1	0.164696	0.99672	0.502425
G42	G12	-1	-0.07398	0.53651	-0.12148
G46	G12	1	0.124735	0.944554	0.360605
G51	G12	-1	-0.078023	0.542704	-0.129599
G52	G12	1	0.074754	0.581549	0.133057
G53	G12	1	0.085946	0.588283	0.15475
G55	G12	1	0.07155	0.513258	0.112399
G56	G12	1	0.121297	0.876213	0.325293
G57	G12	-1	-0.197748	0.998332	-0.604231
G64	G12	1	0.126553	0.89465	0.34653
G65	G12	1	0.129924	0.921209	0.366323
G67	G12	1	0.107834	0.757498	0.250008
G71	G12	-1	-0.134321	0.890262	-0.365997
G74	G12	-1	-0.138862	0.923293	-0.39241
G75	G12	-1	-0.163559	0.983053	-0.492115
G78	G12	1	0.119387	0.689078	0.251791
G82	G12	1	0.135793	0.770952	0.32042
G85	G12	-1	-0.072474	0.532494	-0.118118
G89	G12	1	0.091406	0.579327	0.162074
G91	G12	1	0.120506	0.927814	0.342205
G94	G12	1	0.128593	0.901421	0.354781
G95	G12	1	0.196323	0.998705	0.600099
G97	G12	-1	-0.103542	0.656439	-0.208031
G1	G13	-1	-0.065398	0.532426	-0.106571
G4	G13	1	0.078782	0.728894	0.175754
G6	G13	-1	-0.080711	0.567564	-0.140205
G11	G13	1	0.08774	0.613253	0.164684
G25	G13	-1	-0.067849	0.512206	-0.106365
G29	G13	1	0.060904	0.526859	0.09821
G31	G13	-1	-0.124739	0.962555	-0.367487
G38	G13	-1	-0.076209	0.573615	-0.133796
G39	G13	1	0.133324	0.970802	0.396147
G40	G13	1	0.064427	0.687171	0.135504
G44	G13	-1	-0.066417	0.640829	-0.130268
G48	G13	-1	-0.146763	0.999545	-0.448989
G49	G13	1	0.07477	0.672567	0.153913
G54	G13	1	0.099532	0.803479	0.244766
G59	G13	1	0.068913	0.514623	0.108545
G62	G13	-1	-0.117787	0.974385	-0.351271
G67	G13	-1	-0.106191	0.924686	-0.300537
G70	G13	-1	-0.091845	0.68189	-0.191683
G76	G13	1	0.083488	0.835551	0.213506
G83	G13	-1	-0.057986	0.584577	-0.103749
G88	G13	-1	-0.138731	0.978465	-0.415465
G89	G13	1	0.069907	0.591241	0.126503
G90	G13	1	0.059068	0.571046	0.103238
G9	G14	1	0.080647	0.523472	0.12921
G18	G14	-1	-0.103202	0.88384	-0.279174
G20	G14	1	0.112766	0.73117	0.252354
G26	G14	-1	-0.065222	0.590384	-0.117854
G28	G14	1	0.083302	0.666367	0.169897
G37	G14	-1	-0.168255	0.999683	-0.51481
G42	G14	-1	-0.07756	0.71349	-0.169371
G45	G14	1	0.157274	0.999265	0.481009
G46	G14	-1	-0.181548	0.999993	-0.555652
G47	G14	1	0.147872	0.994567	0.450127
G49	G14	-1	-0.100918	0.846719	-0.261531
G60	G14	-1	-0.091126	0.704692	-0.196542
G61	G14	-1	-0.106699	0.730493	-0.238558
G64	G14	-1	-0.130306	0.97828	-0.390161
G65	G14	1	0.069605	0.590879	0.125879
G67	G14	-1	-0.068402	0.55447	-0.116081
G69	G14	1	0.117829	0.934954	0.337178
G71	G14	1	0.080216	0.628207	0.154233
G76	G14	1	0.079923	0.702244	0.17178
G78	G14	1	0.140125	0.921635	0.395267
G81	G14	1	0.081537	0.690234	0.172253
G82	G14	1	0.109825	0.749234	0.251845
G83	G14	1	0.069687	0.63996	0.136496
G85	G14	-1	-0.099518	0.889916	-0.271061
G87	G14	1	0.143636	0.954591	0.419659
G90	G14	1	0.077045	0.720544	0.16991
G99	G14	1	0.105088	0.933688	0.300309
G3	G15	1	0.068701	0.64947	0.136565
G7	G15	-1	-0.057593	0.550868	-0.097103
G10	G15	-1	-0.094848	0.850937	-0.247026
G14	G15	1	0.086894	0.589797	0.156859
G18	G15	-1	-0.102496	0.900187	-0.282394
G21	G15	-1	-0.072347	0.513204	-0.113638
G25	G15	-1	-0.083191	0.601442	-0.153138
G35	G15	1	0.085057	0.848231	0.220821
G41	G15	-1	-0.10393	0.815571	-0.25943
G42	G15	-1	-0.105046	0.959491	-0.308485
G49	G15	-1	-0.126065	0.975999	-0.376583
G51	G15	-1	-0.090399	0.859781	-0.237884
G52	G15	1	0.123743	0.988211	0.37427
G56	G15	1	0.066758	0.539449	0.110222
G59	G15	1	0.081212	0.576544	0.143307
G65	G15	1	0.141621	0.994782	0.431192
G67	G15	1	0.077049	0.662025	0.15612
G69	G15	1	0.062946	0.521461	0.100463
G74	G15	-1	-0.064839	0.519306	-0.103057
G75	G15	-1	-0.074383	0.670803	-0.152716
G79	G15	1	0.130986	0.956378	0.383416
G83	G15	1	0.062871	0.591101	0.113744
G84	G15	-1	-0.134085	0.944089	-0.387444
G87	G15	-1	-0.069363	0.511285	-0.108545
G91	G15	-1	-0.072635	0.720927	-0.16027
G93	G15	1	0.068931	0.687907	0.145131
G95	G15	1	0.156466	0.998356	0.478103
G97	G15	1	0.111162	0.872047	0.296697
G100	G15	-1	-0.083737	0.844611	-0.216467
G2	G16	1	0.088076	0.538804	0.145247
G4	G16	-1	-0.143723	0.937486	-0.412389
G6	G16	-1	-0.147394	0.79403	-0.358207
G7	G16	1	0.080348	0.631708	0.155349
G8	G16	-1	-0.09675	0.703186	-0.208226
G10	G16	-1	-0.242028	0.999992	-0.740761
G12	G16	-1	-0.106916	0.738685	-0.241723
G13	G16	1	0.186813	0.917863	0.524809
G15	G16	1	0.13119	0.698343	0.280405
G18	G16	-1	-0.117431	0.844045	-0.303363
G21	G16	-1	-0.156775	0.937381	-0.449788
G22	G16	1	0.121432	0.75665	0.281219
G28	G16	-1	-0.166803	0.983662	-0.502188
G29	G16	1	0.121366	0.821113	0.305011
G31	G16	-1	-0.103029	0.620995	-0.195823
G32	G16	1	0.146891	0.768142	0.345345
G36	G16	1	0.114013	0.873426	0.304787
G37	G16	-1	-0.125999	0.905368	-0.349145
G39	G16	1	0.222251	0.998469	0.679193
G40	G16	1	0.20936	0.999856	0.640689
G41	G16	-1	-0.098729	0.576349	-0.174159
G44	G16	-1	-0.112935	0.813162	-0.281075
G47	G16	1	0.09254	0.69837	0.197801
G49	G16	-1	-0.199008	0.998928	-0.608443
G50	G16	-1	-0.184298	0.98185	-0.553835
G54	G16	1	0.142046	0.845757	0.367696
G58	G16	1	0.182632	0.984859	0.550513
G65	G16	-1	-0.129021	0.898518	-0.354816
G66	G16	1	0.133073	0.875915	0.356753
G67	G16	-1	-0.097673	0.666379	-0.199211
G68	G16	1	0.147663	0.961458	0.434527
G72	G16	-1	-0.14175	0.900441	-0.390655
G76	G16	1	0.101957	0.763941	0.238393
G84	G16	1	0.092017	0.559416	0.15755
G85	G16	1	0.072312	0.527449	0.116736
G86	G16	-1	-0.093319	0.538394	-0.153776
G90	G16	-1	-0.087946	0.665487	-0.179131
G91	G16	-1	-0.164677	0.992393	-0.500185
G92	G16	1	0.131136	0.897678	0.360295
G93	G16	1	0.13269	0.959145	0.389528
G95	G16	1	0.205863	0.999162	0.629548
G96	G16	1	0.14817	0.984332	0.446394
G99	G16	1	0.083384	0.624085	0.159272
G2	G17	1	0.09105	0.590526	0.164563
G5	G17	-1	-0.062334	0.532172	-0.10153
G6	G17	-1	-0.168712	0.930004	-0.480226
G10	G17	1	0.087299	0.603464	0.161241
G13	G17	1	0.109656	0.614553	0.206257
G15	G17	-1	-0.121721	0.695138	-0.258972
G23	G17	1	0.121057	0.839846	0.311174
G24	G17	1	0.154735	0.974773	0.461646
G28	G17	1	0.156461	0.985613	0.471986
G33	G17	-1	-0.107357	0.699278	-0.229771
G34	G17	1	0.111975	0.705376	0.241745
G40	G17	1	0.122598	0.947879	0.355674
G42	G17	1	0.1938	0.999959	0.593133
G43	G17	-1	-0.12386	0.957706	-0.363061
G47	G17	1	0.115784	0.904897	0.320673
G48	G17	1	0.086854	0.659498	0.175314
G51	G17	-1	-0.072527	0.562892	-0.124952
G55	G17	1	0.083074	0.618376	0.157229
G56	G17	1	0.205464	0.999979	0.628843
G58	G17	1	0.182928	0.993118	0.556028
G62	G17	-1	-0.086198	0.59707	-0.15752
G64	G17	-1	-0.169425	0.995648	-0.516297
G68	G17	1	0.085616	0.62273	0.163181
G70	G17	1	0.108414	0.637454	0.21152
G72	G17	-1	-0.169432	0.98934	-0.513046
G78	G17	1	0.220242	0.99722	0.672212
G80	G17	-1	-0.11113	0.665023	-0.226196
G84	G17	1	0.183179	0.982571	0.550876
G85	G17	1	0.153117	0.988982	0.463476
G87	G17	-1	-0.101184	0.656325	-0.203257
G91	G17	-1	-0.174113	0.99919	-0.53247
G93	G17	1	0.105068	0.851872	0.273942
G95	G17	1	0.087473	0.648892	0.173726
G97	G17	-1	-0.096403	0.661287	-0.195118
G2	G18	1	0.160702	0.930457	0.457651
G3	G18	-1	-0.08503	0.626691	-0.163096
G5	G18	1	0.129116	0.950891	0.375774
G6	G18	-1	-0.176981	0.912808	-0.494449
G7	G18	1	0.149048	0.986521	0.450037
G10	G18	-1	-0.108849	0.758959	-0.252846
G12	G18	-1	-0.102351	0.694746	-0.217638
G15	G18	-1	-0.109977	0.578422	-0.194699
G29	G18	1	0.095963	0.644665	0.189344
G30	G18	-1	-0.125185	0.88406	-0.338726
G33	G18	1	0.10279	0.608197	0.191341
G34	G18	1	0.187063	0.976252	0.558939
G35	G18	1	0.072301	0.547474	0.12115
G36	G18	1	0.173925	0.99935	0.531979
G39	G18	1	0.101462	0.586473	0.182124
G42	G18	1	0.164797	0.995765	0.502251
G47	G18	1	0.144559	0.976335	0.431977
G51	G18	1	0.202336	0.99989	0.619213
G55	G18	1	0.07978	0.562045	0.137241
G57	G18	-1	-0.08289	0.531822	-0.134922
G64	G18	-1	-0.151277	0.963035	-0.445892
G67	G18	-1	-0.104726	0.710067	-0.227598
G68	G18	-1	-0.075748	0.506128	-0.11734
G70	G18	1	0.114013	0.619522	0.216186
