SourceGENES	TargetGENES	Edges	Interaction
SPI1	SNAI3	-1	0.393095515
PPARD	NFATC1	1	0.391557048
PPARD	MYEF2	1	0.389084212
PPARG	PPARG	1	0.383465486
FOSB	ETS1	1	0.383086454
BCL6	SMAD3	1	0.38221704
SPI1	BCL6	1	0.379298889
PPARD	KLF13	1	0.376197335
PPARD	SPIB	-1	0.376133899
EGR2	MYEF2	1	0.374718586
EGR2	NFATC1	1	0.373104688
MAFB	VDR	1	0.366633951
BCL6	CEBPD	-1	0.364627006
EGR2	SPIB	-1	0.363816243
PPARG	BCL6	1	0.362425023
SPI1	FOSB	1	0.361761668
BCL6	NFATC2	-1	0.35975699
KLF10	PRDM1	-1	0.359032017
EGR2	KLF13	-1	0.358454651
PRDM1	NFATC1	1	0.357169174
PRDM1	MYEF2	-1	0.356567978
PPARG	PRDM1	1	0.355225982
BCL6	MAFB	1	0.352074649
BCL6	NFYA	-1	0.350593312
PPARG	VDR	-1	0.349565344
PRDM1	SPIB	1	0.344909891
SPI1	PPARG	1	0.343546075
PRDM1	KLF13	1	0.343534743
EGR2	BCL6	1	0.342930926
BCL6	PPARD	1	0.341434055
MAFB	CBFB	1	0.339208009
FOSB	FOS	1	0.338850973
MAFB	TFPT	1	0.338084799
PPARD	BCL6	1	0.337554604
PPARG	TFPT	-1	0.33555524
PPARG	CEBPB	1	0.332305054
PPARG	SNAI1	1	0.330614204
PPARD	SNAI3	1	0.33020255
BCL6	RXRB	-1	0.329775925
MAFB	NFE2L1	-1	0.329381384
BCL6	NFYC	1	0.329311144
BCL6	UHRF1	-1	0.32784702
PPARG	NFE2L1	1	0.326556842
PPARD	ELK1	-1	0.325561904
MAFB	SNAI1	1	0.325476566
KLF10	VDR	-1	0.321008175
MAFB	CEBPB	1	0.319055574
PRDM1	BCL6	1	0.317819713
PPARG	SMAD3	1	0.315387258
EGR2	SNAI3	1	0.313675469
BCL6	SPI1	1	0.310865801
EGR2	ELK1	-1	0.310527957
BCL6	RREB1	-1	0.308032685
BCL6	TCF3	-1	0.307457
MAFB	SMAD3	-1	0.307395636
PPARG	CBFB	1	0.305780253
PPARG	NFATC2	1	0.30487949
PPARD	FOSB	-1	0.30293268
SPI1	PRDM1	1	0.302011495
BCL6	STAT1	1	0.301578489
FOSB	MYEF2	1	0.301349925
PRDM1	SNAI3	-1	0.301058522
FOSB	JUN	-1	0.299117505
KLF10	CBFB	1	0.298898251
BCL6	SMAD4	-1	0.298123991
PRDM1	ELK1	1	0.297076106
KLF10	TFPT	-1	0.296424529
BCL6	RUNX1	-1	0.295361095
EGR2	FOSB	1	0.29406444
MAFB	CEBPD	1	0.291274218
PPARG	CEBPD	1	0.290534833
FOSB	SPIB	1	0.290318781
PPARD	PPARG	1	0.290097014
MAFB	NFATC2	1	0.288682277
EGR2	PPARG	-1	0.28823671
KLF10	NFE2L1	1	0.288001072
FOSB	NFATC1	1	0.287106371
PPARG	NFYA	-1	0.285878275
FOSB	KLF13	1	0.2848795
KLF10	SNAI1	1	0.283967399
KLF10	CEBPB	1	0.279578839
BCL6	TCFL5	1	0.279176153
BCL6	FLI1	-1	0.279071352
SPI1	VDR	1	0.278712727
MAFB	NFYA	1	0.278639401
PRDM1	FOSB	-1	0.278625836
MAFB	MAFB	1	0.277765354
BCL6	TRIM28	-1	0.273054619
FOSB	BCL6	-1	0.270159421
MAFB	PPARD	-1	0.269710762
PRDM1	PPARG	1	0.269370727
KLF10	SMAD3	1	0.267301654
PPARG	NFYC	-1	0.2642305
BCL6	SP3	1	0.264110966
SPI1	TFPT	1	0.261858495
MAFB	RXRB	1	0.260948111
MAFB	UHRF1	-1	0.260633666
MAFB	NFYC	-1	0.260384357
SPIB	ETS1	-1	0.260090629
PPARG	RXRB	-1	0.258720236
PPARG	UHRF1	-1	0.257709314
BCL6	IRF8	-1	0.257071046
KLF10	CEBPD	-1	0.25472873
SPI1	CBFB	1	0.254668572
PPARG	PPARD	1	0.254594858
PPARD	PRDM1	1	0.254475296
BCL6	HOXA10	-1	0.253804012
SPI1	NFE2L1	-1	0.253777476
BCL6	HOXA13	-1	0.252855757
SPI1	SNAI1	1	0.252784369
KLF10	NFATC2	1	0.251295956
PPARG	TCF3	1	0.250649699
SPI1	CEBPB	1	0.250560802
PPARG	RREB1	-1	0.249859221
FOSB	ELK1	1	0.248467182
EGR2	PRDM1	1	0.247684365
PPARG	STAT1	-1	0.245573689
MAFB	SPI1	1	0.245537164
MAFB	RREB1	-1	0.245281043
MAFB	TCF3	-1	0.244861533
KLF10	MAFB	1	0.244333875
FOSB	SNAI3	-1	0.24265996
BCL6	MYB	-1	0.24257704
KLF10	NFYA	-1	0.242277127
PPARG	MAFB	1	0.241684345
PPARG	RUNX1	-1	0.240730256
SPI1	SMAD3	1	0.240157256
MAFB	STAT1	-1	0.23950897
PPARG	SMAD4	1	0.239180281
MAFB	SMAD4	1	0.236962718
KLF10	PPARD	-1	0.235908719
FOSB	PPARG	-1	0.235734494
FOSB	FOSB	1	0.235460378
PRDM1	PRDM1	1	0.234416037
PPARG	FLI1	1	0.234194484
MAFB	RUNX1	1	0.234145
PPARD	VDR	-1	0.231683811
PPARG	SPI1	1	0.229816057
PPARG	TRIM28	-1	0.229252379
KLF10	RXRB	-1	0.228129132
SPI1	NFATC2	1	0.227799837
KLF10	UHRF1	1	0.227440023
SPIB	FOS	-1	0.227385828
KLF10	NFYC	1	0.227267963
PPARG	TCFL5	1	0.226358041
SPI1	CEBPD	1	0.22445589
PPARG	SP3	-1	0.223278733
BCL6	LMO2	1	0.222696969
MAFB	FLI1	-1	0.222251138
MAFB	TCFL5	1	0.222244493
EGR2	VDR	1	0.221650027
MAFB	TRIM28	-1	0.218763961
PPARD	TFPT	-1	0.218694878
PPARD	CBFB	1	0.218516899
SPI1	NFYA	1	0.216785252
KLF10	SPI1	-1	0.214483634
BCL6	KLF10	-1	0.214472368
KLF10	TCF3	1	0.213538094
KLF10	RREB1	-1	0.213536277
PRDM1	VDR	1	0.211483115
MAFB	SP3	1	0.211458795
PPARG	HOXA10	-1	0.211057963
SPIB	JUN	-1	0.210185637
EGR2	CBFB	1	0.209792183
PPARD	NFE2L1	1	0.208337362
KLF10	STAT1	1	0.20820104
RXRB	ETS1	1	0.207229208
KLF10	SMAD4	-1	0.206964535
PPARD	SNAI1	1	0.206735145
EGR2	TFPT	-1	0.206683318
ETS1	ETS1	1	0.20625214
PPARD	CEBPB	1	0.206092817
SPI1	MAFB	1	0.20498124
MAFB	IRF8	-1	0.204889095
SPI1	PPARD	1	0.204104402
KLF10	RUNX1	1	0.203183569
PPARG	HOXA13	-1	0.202885522
PPARG	IRF8	-1	0.202581189
SPIB	MYEF2	1	0.202536013
SPI1	NFYC	-1	0.201866671
MAFB	HOXA13	-1	0.201473026
MAFB	HOXA10	1	0.200982223
SPI1	RXRB	1	0.200876972
PRDM1	CBFB	-1	0.200442381
SPI1	UHRF1	-1	0.20015308
PRDM1	TFPT	-1	0.198693807
PPARG	MYB	-1	0.198584281
FOSB	PRDM1	-1	0.198278543
EGR2	NFE2L1	-1	0.198243551
PPARD	SMAD3	1	0.196865572
SPIB	NFATC1	-1	0.196763159
RXRB	JUN	1	0.196115991
SPIB	SPIB	1	0.196051708
EGR2	SNAI1	-1	0.195605025
KLF10	TCFL5	1	0.194098336
EGR2	CEBPB	-1	0.193679356
KLF10	FLI1	-1	0.193469867
MAFB	MYB	-1	0.193383712
SPIB	KLF13	-1	0.192133025
KLF10	TRIM28	1	0.190814204
SPI1	RREB1	1	0.190585794
SPI1	TCF3	-1	0.190518327
PRDM1	NFE2L1	-1	0.189636498
MYEF2	ETS1	1	0.188088895
PRDM1	SNAI1	1	0.187547146
PRDM1	CEBPB	1	0.186964466
SPI1	STAT1	1	0.185999215
SPIB	BCL6	-1	0.185732015
EGR2	SMAD3	-1	0.185682817
PPARD	NFATC2	-1	0.18534636
SPI1	SPI1	1	0.184966555
PPARD	CEBPD	-1	0.184738173
KLF10	SP3	-1	0.184546081
RXRB	FOS	-1	0.18385857
SPI1	SMAD4	1	0.183678261
PPARG	LMO2	1	0.182999523
SPI1	RUNX1	1	0.181951452
ETS1	FOS	-1	0.180531296
PRDM1	SMAD3	-1	0.178799048
KLF10	IRF8	1	0.178779125
NFYC	JUN	1	0.177456503
FOSB	VDR	-1	0.176735034
MAFB	LMO2	-1	0.176422645
KLF10	HOXA13	-1	0.176084669
KLF10	HOXA10	-1	0.176047527
PPARD	NFYA	1	0.17601728
EGR2	CEBPD	1	0.175603593
SPI1	FLI1	1	0.174162412
EGR2	NFATC2	-1	0.174037418
SPI1	TCFL5	-1	0.172694139
PPARD	MAFB	-1	0.172658464
SPI1	TRIM28	1	0.171925415
ETS1	JUN	1	0.17177782
MAFB	KLF10	1	0.170038426
KLF10	MYB	-1	0.168744707
PPARD	PPARD	1	0.168485399
PRDM1	CEBPD	1	0.16833392
EGR2	MAFB	1	0.168216673
PRDM1	NFATC2	-1	0.167970423
RXRB	NFATC1	-1	0.167322806
SPIB	ELK1	1	0.167206038
NFYC	ETS1	1	0.166999264
SPI1	SP3	1	0.166882926
EGR2	NFYA	1	0.166657992
SPIB	SNAI3	-1	0.165304191
MYEF2	JUN	-1	0.165184181
MYEF2	FOS	1	0.164885523
PPARD	UHRF1	1	0.164268353
PPARD	RXRB	1	0.164210044
PPARD	NFYC	1	0.163882458
UHRF1	ETS1	1	0.163293915
EGR2	PPARD	1	0.161987807
RXRB	MYEF2	1	0.161784353
ETS1	MYEF2	1	0.160805435
FOSB	TFPT	1	0.160632244
PRDM1	NFYA	-1	0.159822077
FOSB	CBFB	-1	0.159461574
FOSB	NFE2L1	-1	0.159358399
BCL6	EGR2	1	0.159237643
SPIB	FOSB	1	0.159081306
PRDM1	MAFB	1	0.15903302
PPARG	KLF10	-1	0.158692259
RXRB	KLF13	1	0.158320506
SPIB	PPARG	-1	0.158152975
SPI1	HOXA10	1	0.157613394
SPI1	IRF8	1	0.1573936
FOSB	SNAI1	1	0.157293375
ETS1	NFATC1	1	0.157143765
EGR2	UHRF1	-1	0.156408823
RXRB	SPIB	-1	0.156408253
EGR2	RXRB	-1	0.156373037
PPARD	RREB1	1	0.155942505
SPI1	HOXA13	-1	0.155831721
PPARD	TCF3	1	0.155670656
EGR2	NFYC	-1	0.155564604
ETS1	SPIB	-1	0.155255563
PRDM1	PPARD	1	0.154056954
KLF10	LMO2	1	0.154054799
ETS1	KLF13	-1	0.153620137
PPARD	SPI1	1	0.152920998
NFYC	FOS	1	0.152605339
FOSB	CEBPB	1	0.152558357
PPARD	STAT1	1	0.151109085
VDR	ETS1	1	0.150833804
SPI1	MYB	-1	0.15082194
PPARD	SMAD4	1	0.15062695
PRDM1	UHRF1	-1	0.149501296
PRDM1	RXRB	1	0.149418647
KLF10	KLF10	1	0.148953354
PRDM1	NFYC	1	0.148886457
FOSB	SMAD3	-1	0.147723748
EGR2	RREB1	1	0.147468598
PPARD	RUNX1	1	0.147226178
EGR2	SPI1	-1	0.147224258
EGR2	TCF3	1	0.147060953
MYEF2	NFATC1	1	0.147027851
MYEF2	MYEF2	1	0.146359652
ETS1	BCL6	1	0.146356589
NFYC	NFATC1	1	0.144022764
UHRF1	JUN	-1	0.143553988
EGR2	STAT1	1	0.142993629
UHRF1	FOS	1	0.142791414
EGR2	SMAD4	-1	0.142616712
MYEF2	SPIB	1	0.141789321
RXRB	SNAI3	1	0.141608527
PRDM1	RREB1	1	0.141415672
PPARD	TCFL5	1	0.141315906
PRDM1	TCF3	-1	0.141088182
MYEF2	KLF13	1	0.14099626
PPARD	TRIM28	1	0.140381488
FOSB	CEBPD	1	0.140312164
PPARD	FLI1	1	0.140236644
PRDM1	SPI1	1	0.13980012
EGR2	RUNX1	-1	0.139430466
FOSB	NFATC2	-1	0.138897669
SPI1	LMO2	1	0.137789915
RXRB	BCL6	-1	0.137704473
PRDM1	STAT1	1	0.13698519
RXRB	ELK1	-1	0.136741041
PRDM1	SMAD4	1	0.136639927
PPARD	SP3	-1	0.135836488
FOSB	NFYA	1	0.135089142
FOSB	MAFB	-1	0.13452158
SPIB	PRDM1	1	0.133782172
EGR2	TCFL5	-1	0.133604166
PRDM1	RUNX1	-1	0.133532612
NFYC	KLF13	1	0.132847282
ETS1	ELK1	1	0.132619892
ETS1	SNAI3	1	0.132449107
EGR2	FLI1	-1	0.132407403
NFYC	MYEF2	1	0.132085585
EGR2	TRIM28	-1	0.131842484
FOSB	PPARD	-1	0.131182318
MYEF2	BCL6	1	0.131101452
VDR	FOS	1	0.129926095
PPARD	IRF8	1	0.129646357
SPI1	KLF10	-1	0.128213563
PRDM1	TCFL5	-1	0.128136155
PPARD	HOXA13	-1	0.127970067
NFYC	SPIB	-1	0.127462454
EGR2	SP3	-1	0.12739501
PRDM1	FLI1	-1	0.127366638
PPARD	HOXA10	-1	0.127359459
FOSB	RXRB	-1	0.127130198
UHRF1	MYEF2	1	0.127055365
PRDM1	TRIM28	1	0.127021901
FOSB	NFYC	-1	0.12696217
UHRF1	NFATC1	1	0.126941602
MAFB	EGR2	1	0.126599032
FOSB	UHRF1	1	0.126287021
VDR	JUN	-1	0.125839939
RXRB	FOSB	-1	0.125770716
ETS1	FOSB	1	0.125681281
ETS1	PPARG	1	0.123974927
EGR2	IRF8	-1	0.123492617
MYEF2	SNAI3	-1	0.1234659
PPARD	MYB	-1	0.12317147
PPARG	EGR2	-1	0.123038698
PRDM1	SP3	1	0.122871687
UHRF1	SPIB	1	0.122855299
UHRF1	KLF13	-1	0.122549612
MYEF2	ELK1	-1	0.121869263
EGR2	HOXA13	1	0.121436394
NFYC	SNAI3	1	0.121170003
EGR2	HOXA10	-1	0.12014899
FOSB	SPI1	1	0.119385309
SPIB	VDR	-1	0.119090025
FOSB	TCF3	1	0.118213944
PRDM1	IRF8	-1	0.118182809
FOSB	RREB1	1	0.118012215
RXRB	PPARG	-1	0.117542385
VDR	MYEF2	1	0.116440548
PRDM1	HOXA13	1	0.116426684
EGR2	MYB	-1	0.116412249
FOSB	STAT1	-1	0.116118149
PRDM1	HOXA10	1	0.115455454
NFYC	ELK1	-1	0.114939923
UHRF1	BCL6	-1	0.114625618
MYEF2	FOSB	1	0.114521535
VDR	NFATC1	1	0.114430695
FOSB	SMAD4	1	0.114293333
FOSB	RUNX1	-1	0.113807477
VDR	SPIB	-1	0.113055042
PRDM1	MYB	1	0.111839612
PPARD	LMO2	1	0.111432698
KLF10	EGR2	1	0.110948818
VDR	KLF13	1	0.110849303
MYEF2	PPARG	-1	0.110616308
SPIB	CBFB	1	0.110143126
VDR	BCL6	1	0.109940374
SPIB	TFPT	-1	0.10921853
FOSB	FLI1	1	0.108318813
FOSB	TCFL5	1	0.107354116
UHRF1	SNAI3	-1	0.107034637
SPIB	NFE2L1	1	0.10684807
PPARD	KLF10	-1	0.106511922
ETS1	PRDM1	1	0.106257737
EGR2	LMO2	-1	0.105401071
RXRB	PRDM1	1	0.10539574
SPIB	SNAI1	1	0.10525767
UHRF1	ELK1	1	0.105220157
FOSB	TRIM28	-1	0.105219579
SPIB	CEBPB	1	0.103073995
NFE2L1	ETS1	1	0.102621052
EGR2	KLF10	1	0.10259518
FOSB	SP3	-1	0.102057849
IRF8	ETS1	1	0.102001673
NFYC	FOSB	-1	0.101949296
PRDM1	LMO2	-1	0.101152291
NFYC	BCL6	1	0.100667674
CBFB	ETS1	-1	0.10063385
SPIB	SMAD3	-1	0.099080222
UHRF1	FOSB	1	0.099071059
FOSB	IRF8	-1	0.098457672
FOSB	HOXA10	1	0.097867932
PRDM1	KLF10	-1	0.097620701
RXRB	VDR	-1	0.097063597
FOSB	HOXA13	-1	0.096874219
SPI1	EGR2	-1	0.096649276
MYEF2	PRDM1	-1	0.096287768
VDR	SNAI3	-1	0.096268408
UHRF1	PPARG	-1	0.096102415
VDR	ELK1	1	0.095431427
ETS1	VDR	1	0.094631136
SPIB	CEBPD	1	0.094420712
RXRB	CBFB	1	0.093890613
RXRB	TFPT	1	0.093493992
FOSB	MYB	1	0.093217143
SPIB	NFATC2	1	0.093020598
VDR	FOSB	-1	0.091414676
VDR	PPARG	-1	0.091056185
SPIB	MAFB	-1	0.090975537
SPIB	NFYA	-1	0.090044217
NFE2L1	FOS	1	0.088610254
NFYC	PPARG	-1	0.088365794
ETS1	CBFB	-1	0.088108151
RXRB	CEBPB	1	0.087864913
SPIB	PPARD	-1	0.08783578
ETS1	TFPT	1	0.08742617
IRF8	FOS	1	0.087213365
RXRB	NFE2L1	1	0.087148966
MYEF2	VDR	1	0.086835406
NFE2L1	JUN	1	0.086816544
RUNX1	JUN	-1	0.086806541
RXRB	SNAI1	1	0.086704274
FOSB	LMO2	-1	0.085938891
ETS1	NFE2L1	1	0.084842833
SPIB	RXRB	-1	0.084774515
SPIB	UHRF1	1	0.084490246
SPIB	NFYC	-1	0.084467241
NFYC	PRDM1	1	0.084007544
UHRF1	PRDM1	-1	0.083898198
ETS1	SNAI1	1	0.083635538
RXRB	SMAD3	1	0.083582409
ETS1	CEBPB	-1	0.082492729
MYEF2	CBFB	1	0.082481881
CBFB	FOS	-1	0.082478721
FOSB	KLF10	1	0.082247454
RUNX1	ETS1	1	0.082232534
CBFB	BCL6	-1	0.081767376
MYEF2	TFPT	1	0.081600889
RUNX1	FOS	1	0.081145356
NFYC	VDR	-1	0.080901577
NFYC	TFPT	1	0.080900724
NFYC	CBFB	1	0.080055377
SPIB	SPI1	1	0.079914258
PPARD	EGR2	1	0.079741693
NFE2L1	MYEF2	1	0.079290845
ETS1	SMAD3	-1	0.079289983
SPIB	RREB1	1	0.079141565
SPIB	TCF3	1	0.079115213
IRF8	MYEF2	1	0.078884338
IRF8	JUN	-1	0.078711768
RXRB	NFATC2	1	0.07868701
NFE2L1	NFATC1	-1	0.078361772
MYEF2	NFE2L1	1	0.077824868
RXRB	CEBPD	1	0.077724776
VDR	PRDM1	1	0.077623087
FOS	ETS1	-1	0.07752074
SPIB	STAT1	-1	0.077353685
IRF8	BCL6	-1	0.077082631
NFE2L1	SPIB	1	0.076965331
MYEF2	SNAI1	1	0.07692626
MYEF2	CEBPB	1	0.076697177
SPIB	SMAD4	1	0.076651132
NFYC	CEBPB	1	0.076431011
IRF8	SPIB	-1	0.07632011
EGR2	EGR2	1	0.076237719
CBFB	MYEF2	1	0.075911848
NFE2L1	KLF13	-1	0.075700445
SPIB	RUNX1	1	0.075613589
UHRF1	VDR	1	0.07521092
ETS1	CEBPD	-1	0.075065154
CBFB	SPIB	1	0.074577703
IRF8	NFATC1	-1	0.074417326
ETS1	NFATC2	1	0.074388322
CBFB	JUN	-1	0.074387997
NFE2L1	BCL6	-1	0.074228341
IRF8	KLF13	1	0.074195631
RXRB	NFYA	-1	0.073659269
NFYC	SNAI1	-1	0.073560971
NFYC	NFE2L1	-1	0.073186014
MYEF2	SMAD3	-1	0.073142096
PRDM1	EGR2	1	0.072830707
ETS1	MAFB	1	0.071971594
SPIB	FLI1	1	0.071931308
SPIB	TCFL5	-1	0.07188818
CBFB	NFATC1	-1	0.071607766
RUNX1	KLF13	1	0.071501129
ETS1	NFYA	1	0.071451253
RXRB	MAFB	1	0.071445844
UHRF1	CBFB	-1	0.071391437
NFYC	SMAD3	1	0.071201982
UHRF1	TFPT	-1	0.070593416
SPIB	TRIM28	-1	0.070537354
CBFB	KLF13	-1	0.070111575
RUNX1	NFATC1	-1	0.069987134
RXRB	PPARD	1	0.069775962
ETS1	PPARD	-1	0.069547166
RUNX1	MYEF2	1	0.069288317
MYEF2	CEBPD	1	0.069061707
FOS	JUN	1	0.068871542
MYEF2	NFATC2	-1	0.068741239
RXRB	UHRF1	-1	0.068547006
VDR	VDR	1	0.068437105
SPIB	SP3	1	0.068233293
RXRB	RXRB	1	0.068155391
RXRB	NFYC	1	0.068036452
FOS	FOS	1	0.06791897
NFYC	NFATC2	-1	0.067733607
UHRF1	NFE2L1	1	0.067284863
ETS1	RXRB	1	0.067275139
ETS1	UHRF1	1	0.067022264
ETS1	NFYC	1	0.066966356
UHRF1	SNAI1	-1	0.066460952
SPIB	IRF8	-1	0.066328316
UHRF1	CEBPB	1	0.066319177
NFE2L1	SNAI3	1	0.065932447
NFYC	CEBPD	-1	0.065746568
RXRB	RREB1	-1	0.065664917
MYEF2	NFYA	1	0.065463047
MYEF2	MAFB	-1	0.065419845
RXRB	TCF3	1	0.065349697
SPIB	HOXA13	1	0.065221661
SPIB	HOXA10	1	0.065214871
NFE2L1	ELK1	1	0.065164163
VDR	CBFB	1	0.064629032
CBFB	PPARG	1	0.06432995
RUNX1	SPIB	1	0.063708395
IRF8	PPARG	-1	0.063571005
UHRF1	SMAD3	1	0.063479353
IRF8	ELK1	1	0.063359516
MYEF2	PPARD	1	0.063236785
VDR	TFPT	1	0.063223472
RXRB	SPI1	1	0.063210056
RXRB	SMAD4	-1	0.063209618
ETS1	SPI1	-1	0.063140434
RXRB	STAT1	1	0.063082694
ETS1	TCF3	-1	0.062828141
IRF8	SNAI3	-1	0.062791359
ETS1	RREB1	-1	0.062788892
SPIB	MYB	1	0.062513517
NFE2L1	FOSB	-1	0.062195659
NFYC	NFYA	1	0.062096253
IRF8	FOSB	-1	0.061791754
LMO2	JUN	-1	0.06168874
NFE2L1	PPARG	1	0.061571763
RXRB	RUNX1	-1	0.061325807
MYEF2	UHRF1	1	0.061319727
MYEF2	RXRB	1	0.061295043
FOSB	EGR2	1	0.061248302
ETS1	STAT1	1	0.061241068
MYEF2	NFYC	1	0.061050948
VDR	NFE2L1	1	0.060993005
ETS1	SMAD4	1	0.060846724
FOS	NFATC1	-1	0.060603169
CBFB	FOSB	-1	0.060446644
FOS	MYEF2	1	0.060389246
RUNX1	SNAI3	-1	0.060371927
VDR	SNAI1	1	0.059950648
ETS1	RUNX1	1	0.059822825
CBFB	ELK1	1	0.059806636
CBFB	SNAI3	-1	0.059723577
UHRF1	CEBPD	-1	0.059692335
RUNX1	ELK1	-1	0.059689592
UHRF1	NFATC2	-1	0.059519959
RXRB	TRIM28	1	0.059405562
RXRB	TCFL5	1	0.059276833
VDR	CEBPB	-1	0.059102498
LMO2	ETS1	1	0.058624512
RXRB	FLI1	1	0.05854674
FOS	SPIB	-1	0.058391216
FOS	KLF13	1	0.058387516
MYEF2	RREB1	1	0.058005573
MYEF2	TCF3	1	0.057875775
RXRB	SP3	1	0.057401102
MYEF2	SPI1	-1	0.057396386
NFYC	MAFB	-1	0.057328509
NFYC	UHRF1	1	0.05727741
SPIB	LMO2	-1	0.057192812
ETS1	FLI1	1	0.057160028
ETS1	TCFL5	-1	0.057113937
ELK1	ETS1	1	0.057102538
NFYC	PPARD	1	0.057008104
VDR	SMAD3	1	0.056931699
NFYC	NFYC	1	0.05684798
UHRF1	MAFB	-1	0.056739497
NFYC	RXRB	1	0.056603378
UHRF1	NFYA	1	0.056551268
ETS1	TRIM28	1	0.056265314
MYEF2	STAT1	-1	0.056149254
MYEF2	SMAD4	-1	0.056093171
NFYC	RREB1	1	0.056075054
NFYC	TCF3	1	0.055702203
STAT1	ETS1	1	0.055476054
SPIB	KLF10	1	0.055400148
UHRF1	PPARD	1	0.054789556
MYEF2	RUNX1	1	0.054693635
RXRB	IRF8	1	0.054592639
ETS1	SP3	-1	0.054549026
SMAD4	ETS1	1	0.054429832
FOS	BCL6	1	0.054145645
VDR	CEBPD	1	0.053936061
RXRB	HOXA13	1	0.053908727
NFYC	SMAD4	1	0.053780047
NFYC	STAT1	1	0.053299671
VDR	NFATC2	-1	0.053154388
IRF8	PRDM1	-1	0.053141656
UHRF1	RXRB	-1	0.053102779
RXRB	HOXA10	-1	0.053057416
UHRF1	UHRF1	1	0.053047327
CEBPD	ETS1	-1	0.052929647
UHRF1	NFYC	1	0.052799367
NFE2L1	PRDM1	-1	0.052754936
ETS1	IRF8	1	0.052601235
MYEF2	TCFL5	1	0.052580146
VDR	MAFB	1	0.052539736
LMO2	FOS	1	0.052469445
CBFB	PRDM1	-1	0.052314533
MYEF2	FLI1	1	0.052121185
MYEF2	TRIM28	-1	0.052068237
RXRB	MYB	1	0.051908858
ETS1	HOXA13	-1	0.051764709
ETS1	HOXA10	1	0.051747155
NFYC	RUNX1	1	0.051528296
NFYC	SPI1	-1	0.051513768
NFYC	TRIM28	1	0.05129175
VDR	NFYA	1	0.051089127
FOS	SNAI3	-1	0.051019317
RUNX1	FOSB	-1	0.050813102
NFYC	TCFL5	1	0.05045138
MYEF2	SP3	-1	0.050335994
VDR	PPARD	-1	0.050231841
FOS	ELK1	1	0.050086662
UHRF1	RREB1	-1	0.049974172
UHRF1	TCF3	1	0.049947298
STAT1	FOS	1	0.049739819
ETS1	MYB	-1	0.049734061
UHRF1	SPI1	-1	0.049673738
LMO2	NFATC1	-1	0.049536813
STAT1	JUN	1	0.049451192
NFYC	SP3	-1	0.049418358
NFYC	FLI1	1	0.049358284
ELK1	FOS	1	0.049341776
MYEF2	IRF8	1	0.048493082
UHRF1	STAT1	1	0.04842043
UHRF1	SMAD4	1	0.048391935
VDR	RXRB	-1	0.048272215
VDR	UHRF1	1	0.048154975
