SourceGENES	TargetGENES	Edges	Interaction
PRDM1	SPI1	1	0.205721923
KLF10	RUNX1	1	0.205715555
SPIB	BCL6	-1	0.204728994
BCL6	KLF10	-1	0.20465181
MAFB	RREB1	-1	0.204142399
SPI1	CEBPB	-1	0.203919983
MAFB	UHRF1	-1	0.202949812
KLF10	TCF3	1	0.202900266
PPARG	SPI1	1	0.202796065
PRDM1	SMAD4	1	0.202161158
FOSB	PPARD	-1	0.201509714
PRDM1	FLI1	-1	0.201246754
PPARD	KLF13	1	0.201199682
FOSB	NFYA	-1	0.200890018
PRDM1	TCFL5	-1	0.20049713
MAFB	SPI1	1	0.199667605
EGR2	PPARG	-1	0.199280428
PPARD	MAFB	-1	0.198659264
PPARD	FOSB	-1	0.198586011
PPARG	RXRB	1	0.198377733
SPIB	SNAI3	-1	0.196609153
PPARG	STAT1	1	0.196407449
VDR	PPARG	1	0.196024787
KLF10	NFATC2	-1	0.195803316
PRDM1	RXRB	1	0.194927893
KLF10	HOXA10	-1	0.194729845
KLF10	TRIM28	1	0.193703314
FOSB	FOSB	1	0.192488945
PPARD	NFYA	1	0.192481283
PPARG	RUNX1	-1	0.192183947
PPARG	NFYC	-1	0.191131772
UHRF1	FOS	1	0.191009943
PRDM1	STAT1	1	0.19059224
PPARG	CEBPD	-1	0.190188213
PRDM1	IRF8	-1	0.188518141
UHRF1	ETS1	-1	0.188147086
FOSB	MAFB	-1	0.187971888
PRDM1	CEBPD	1	0.186982137
PPARG	IRF8	-1	0.186757132
PRDM1	RUNX1	1	0.18597307
PRDM1	NFYC	1	0.185812199
MAFB	FLI1	-1	0.185753927
PPARG	TCF3	1	0.185648952
MAFB	RXRB	-1	0.185648858
MAFB	SMAD4	-1	0.185584989
SPI1	VDR	1	0.184694902
FOSB	RREB1	-1	0.184556244
PPARG	TRIM28	-1	0.183603782
MAFB	TCFL5	-1	0.183180713
PPARG	NFATC2	1	0.182750889
SPIB	PPARG	-1	0.181502548
PPARD	CBFB	1	0.181468227
PPARG	HOXA10	-1	0.181050254
KLF10	LMO2	-1	0.181045324
SPI1	SP3	1	0.180807968
PRDM1	TCF3	-1	0.180380594
KLF10	HOXA13	-1	0.179755907
FOSB	UHRF1	1	0.179189462
FOSB	CBFB	1	0.17826459
KLF10	MYB	-1	0.177728035
PRDM1	TRIM28	1	0.176996343
MAFB	IRF8	-1	0.176769804
PPARD	UHRF1	1	0.176738085
MAFB	NFYC	-1	0.176597797
PPARD	RREB1	1	0.176541475
MAFB	STAT1	-1	0.176192238
EGR2	SPIB	-1	0.176123406
PRDM1	NFATC2	-1	0.175532953
SPI1	PRDM1	1	0.174653162
PPARD	SPI1	1	0.174310347
MAFB	CEBPD	1	0.174057569
FOSB	SPI1	-1	0.174022678
VDR	SPIB	1	0.173705823
PRDM1	HOXA10	1	0.173582293
SPI1	SMAD3	-1	0.17179601
MAFB	RUNX1	1	0.171776995
EGR2	NFE2L1	1	0.170659815
PPARG	HOXA13	-1	0.169212429
EGR2	MYEF2	1	0.168925636
MAFB	TCF3	-1	0.168889422
VDR	NFE2L1	1	0.16885705
PPARG	MYB	-1	0.168355259
BCL6	EGR2	1	0.168270335
SPI1	SNAI1	1	0.168093247
FOSB	FLI1	-1	0.167405043
MYEF2	FOS	1	0.167337468
FOSB	TCFL5	-1	0.166638898
VDR	MYEF2	-1	0.166550229
FOSB	SMAD4	-1	0.166515013
MYEF2	ETS1	1	0.165276454
EGR2	TFPT	-1	0.164619873
FOSB	RXRB	1	0.164531452
SPIB	SPIB	1	0.164490183
PPARG	LMO2	1	0.163440034
SPI1	KLF13	1	0.163182052
MAFB	NFATC2	1	0.162944819
PRDM1	HOXA13	1	0.16240566
SPIB	NFE2L1	-1	0.162134143
KLF10	KLF10	1	0.161229895
VDR	TFPT	-1	0.161169061
MAFB	HOXA10	-1	0.161138859
PPARD	RXRB	1	0.160883832
PPARD	SMAD4	-1	0.160689406
PRDM1	MYB	-1	0.16068151
PRDM1	LMO2	-1	0.160308366
FOSB	STAT1	-1	0.159980055
MAFB	TRIM28	1	0.159771117
PPARD	FLI1	1	0.159111883
PPARD	TCFL5	-1	0.158364787
SPI1	PPARD	1	0.157982467
FOSB	NFYC	-1	0.157916887
SPIB	MYEF2	1	0.157611575
EGR2	CEBPB	-1	0.156485139
FOSB	CEBPD	-1	0.156319041
SPI1	NFYA	1	0.155733448
FOSB	RUNX1	-1	0.155646979
VDR	CEBPB	-1	0.154902733
FOSB	IRF8	1	0.154606464
EGR2	VDR	1	0.154272568
PPARD	IRF8	-1	0.153722096
PPARD	NFYC	1	0.152814361
PPARD	STAT1	1	0.152513495
FOSB	TCF3	-1	0.152441536
UHRF1	JUN	-1	0.151865547
VDR	VDR	1	0.151596144
EGR2	PRDM1	1	0.151233901
PPARD	CEBPD	1	0.151189837
MAFB	LMO2	-1	0.150114928
RXRB	FOS	1	0.149987795
MAFB	HOXA13	-1	0.149380698
SPIB	TFPT	1	0.149179533
SPI1	FOSB	-1	0.149009557
VDR	PRDM1	-1	0.148832473
PPARD	RUNX1	1	0.148294807
MAFB	MYB	-1	0.148006985
SPI1	MAFB	1	0.147567736
FOSB	NFATC2	1	0.147263971
FOSB	HOXA10	-1	0.147244924
PPARD	TCF3	-1	0.146202505
IRF8	ETS1	-1	0.146197316
SPIB	CEBPB	-1	0.146014569
IRF8	FOS	1	0.145869853
FOSB	TRIM28	-1	0.144756498
SPI1	CBFB	1	0.144135072
SPI1	RREB1	1	0.142483324
SPIB	VDR	1	0.141737475
PPARD	NFATC2	1	0.140431994
RXRB	ETS1	1	0.14037385
PPARD	HOXA10	-1	0.139556563
SPI1	UHRF1	1	0.139374538
UHRF1	NFATC1	1	0.138194887
PPARD	TRIM28	1	0.137905868
SPIB	PRDM1	-1	0.137782007
PRDM1	KLF10	1	0.137441745
UHRF1	ELK1	1	0.137026673
FOSB	HOXA13	1	0.136416576
EGR2	SP3	1	0.135659299
FOSB	MYB	1	0.135503439
SPI1	SPI1	1	0.134542271
VDR	SP3	1	0.134464865
FOSB	LMO2	-1	0.134350714
MAFB	KLF10	1	0.134303162
KLF10	EGR2	1	0.134229821
MYEF2	JUN	-1	0.134072663
EGR2	SMAD3	-1	0.133605189
EGR2	PPARD	1	0.132803723
PPARG	KLF10	1	0.132589487
VDR	SMAD3	1	0.131807651
RXRB	JUN	1	0.131330286
SPI1	FLI1	1	0.131135328
SPI1	SMAD4	-1	0.130872044
EGR2	SNAI1	-1	0.13062857
VDR	PPARD	1	0.130592627
NFYC	FOS	1	0.130544169
PPARD	LMO2	1	0.130374195
SPI1	TCFL5	1	0.130076583
PPARD	HOXA13	1	0.128957717
VDR	SNAI1	1	0.12890607
SPI1	RXRB	-1	0.127990791
SPIB	SP3	1	0.127973945
PPARD	MYB	-1	0.127634979
EGR2	KLF13	-1	0.12745098
VDR	KLF13	1	0.126859996
EGR2	MAFB	1	0.126307416
SPIB	SMAD3	1	0.125987224
EGR2	FOSB	-1	0.12595978
VDR	FOSB	-1	0.124160603
VDR	MAFB	1	0.123943842
SPI1	STAT1	1	0.123421083
SPIB	SNAI1	1	0.123006632
UHRF1	BCL6	-1	0.1228936
SPIB	PPARD	-1	0.122337557
SPI1	NFYC	-1	0.122300423
MYEF2	NFATC1	1	0.122189388
EGR2	NFYA	1	0.121783456
SPIB	KLF13	1	0.121751501
SPI1	IRF8	1	0.121441264
LMO2	FOS	1	0.12112398
SPI1	CEBPD	1	0.121105441
VDR	NFYA	1	0.120741181
SPI1	RUNX1	1	0.120516399
MYEF2	ELK1	-1	0.120383385
NFYC	JUN	1	0.119873997
LMO2	ETS1	1	0.1192411
NFYC	ETS1	1	0.11804301
SPI1	TCF3	1	0.117598652
SPIB	NFYA	1	0.117429744
PRDM1	EGR2	1	0.117372573
PPARD	KLF10	-1	0.117252506
SPIB	FOSB	-1	0.116624844
EGR2	CBFB	1	0.116379595
PPARG	EGR2	-1	0.116040018
SPIB	MAFB	-1	0.115106
SPI1	NFATC2	1	0.114696152
FOSB	KLF10	1	0.114280969
SPI1	TRIM28	1	0.114161689
VDR	CBFB	1	0.113850191
SPI1	HOXA10	1	0.113482231
IRF8	JUN	-1	0.11240953
EGR2	UHRF1	-1	0.111889318
EGR2	RREB1	1	0.111511456
MAFB	EGR2	1	0.111013258
VDR	UHRF1	1	0.110561072
UHRF1	SNAI3	-1	0.110476017
VDR	RREB1	-1	0.11042045
EGR2	SPI1	1	0.110189578
VDR	SPI1	1	0.108922635
RXRB	NFATC1	1	0.10878983
ETS1	FOS	-1	0.108721425
ETS1	ETS1	1	0.108475212
MYEF2	BCL6	-1	0.108265441
SPIB	RREB1	-1	0.107543292
IRF8	NFATC1	-1	0.105495773
SPIB	UHRF1	1	0.105481531
SPI1	HOXA13	-1	0.105440104
SPIB	CBFB	-1	0.10497556
IRF8	ELK1	-1	0.104833925
SPI1	MYB	-1	0.104648554
RXRB	ELK1	-1	0.104478507
SPI1	LMO2	1	0.104435415
SPIB	SPI1	-1	0.103985502
EGR2	SMAD4	-1	0.101787798
EGR2	RXRB	1	0.101706134
EGR2	FLI1	-1	0.101297822
LMO2	JUN	-1	0.101000498
VDR	RXRB	1	0.100843261
VDR	SMAD4	-1	0.100632871
VDR	FLI1	1	0.10040206
IRF8	BCL6	-1	0.100108163
EGR2	TCFL5	-1	0.100081365
UHRF1	PPARG	-1	0.100017625
VDR	TCFL5	1	0.099269676
EGR2	IRF8	-1	0.097895106
MYEF2	SNAI3	-1	0.097011067
SPIB	RXRB	1	0.09696133
SPIB	FLI1	1	0.096949857
FOSB	EGR2	-1	0.09693877
PPARD	EGR2	1	0.096759067
SPIB	SMAD4	-1	0.096532488
EGR2	NFYC	1	0.096477592
VDR	IRF8	1	0.096300486
EGR2	STAT1	1	0.096297152
VDR	NFYC	-1	0.095835512
SPIB	TCFL5	1	0.095752777
EGR2	CEBPD	-1	0.09574777
VDR	STAT1	-1	0.095367415
VDR	CEBPD	1	0.094823745
NFYC	NFATC1	-1	0.094189409
EGR2	RUNX1	-1	0.093778423
VDR	RUNX1	1	0.092783151
SPIB	STAT1	-1	0.092722427
SPIB	NFYC	-1	0.092681668
EGR2	TCF3	-1	0.092278582
VDR	TCF3	1	0.091541465
SPIB	IRF8	-1	0.091346577
SPIB	CEBPD	1	0.090802535
LMO2	NFATC1	-1	0.090541729
SPIB	RUNX1	-1	0.0904268
NFYC	ELK1	-1	0.089719224
SPI1	KLF10	-1	0.089645897
UHRF1	SPIB	1	0.089255239
EGR2	NFATC2	-1	0.088861075
SPIB	TCF3	1	0.088771102
VDR	NFATC2	-1	0.088156683
EGR2	HOXA10	-1	0.088010242
VDR	HOXA10	1	0.087613584
RXRB	SNAI3	1	0.087576537
UHRF1	NFE2L1	1	0.087521898
MYEF2	PPARG	-1	0.087506543
EGR2	TRIM28	-1	0.087470829
LMO2	ELK1	-1	0.086782678
VDR	TRIM28	1	0.086529465
UHRF1	MYEF2	1	0.086076878
ETS1	JUN	1	0.085824666
SPIB	NFATC2	1	0.085498661
CBFB	ETS1	1	0.084865861
SPIB	HOXA10	1	0.084788754
UHRF1	TFPT	1	0.084426146
IRF8	SNAI3	-1	0.083839412
SPIB	TRIM28	1	0.082977247
EGR2	LMO2	-1	0.08245401
RXRB	BCL6	1	0.081763243
VDR	LMO2	-1	0.081687155
EGR2	HOXA13	-1	0.081579321
VDR	HOXA13	-1	0.080939478
UHRF1	CEBPB	1	0.080768142
EGR2	MYB	1	0.080599868
IRF8	PPARG	-1	0.08033019
VDR	MYB	1	0.080027402
ETS1	NFATC1	1	0.079523452
TCF3	FOS	-1	0.079443961
CBFB	FOS	-1	0.079238654
SPIB	HOXA13	1	0.078604125
SPIB	LMO2	-1	0.078423969
MYEF2	SPIB	1	0.07835694
ETS1	ELK1	1	0.07823814
UHRF1	VDR	1	0.078230104
SPIB	MYB	1	0.078145719
LMO2	BCL6	1	0.076746612
MYEF2	NFE2L1	1	0.076680094
NFYC	SNAI3	1	0.076544843
UHRF1	PRDM1	-1	0.076408318
SPI1	EGR2	1	0.075975938
MYEF2	MYEF2	1	0.075494696
TCF3	ETS1	1	0.075295403
EGR2	KLF10	1	0.074648983
MYEF2	TFPT	1	0.074286853
VDR	KLF10	-1	0.073473719
ETS1	BCL6	1	0.072784706
LMO2	SNAI3	1	0.0708103
MYEF2	CEBPB	1	0.070795048
UHRF1	SP3	1	0.070243909
IRF8	SPIB	-1	0.069266268
SPIB	KLF10	1	0.069118292
UHRF1	SMAD3	1	0.068713978
MYEF2	VDR	-1	0.068664819
RXRB	PPARG	1	0.068393015
TCF3	JUN	-1	0.067406171
UHRF1	PPARD	1	0.067256119
RXRB	NFE2L1	1	0.06721676
UHRF1	SNAI1	-1	0.067023144
MYEF2	PRDM1	-1	0.066941327
RXRB	TFPT	1	0.066901625
IRF8	NFE2L1	-1	0.066891359
CEBPD	ETS1	1	0.066676438
IRF8	MYEF2	1	0.066417877
CEBPD	FOS	1	0.066357017
RXRB	SPIB	1	0.065718853
UHRF1	KLF13	-1	0.065566587
RXRB	MYEF2	1	0.064708111
IRF8	TFPT	1	0.063971662
UHRF1	MAFB	-1	0.063761109
UHRF1	FOSB	1	0.063715725
RXRB	CEBPB	1	0.063653562
CBFB	BCL6	1	0.063520506
NFYC	BCL6	1	0.063112806
ETS1	SNAI3	1	0.062847079
UHRF1	NFYA	1	0.062484191
MYEF2	SP3	1	0.061581891
CBFB	NFATC1	1	0.061533401
EGR2	EGR2	1	0.06153045
IRF8	CEBPB	-1	0.061385542
LMO2	PPARG	1	0.061167288
IRF8	VDR	1	0.060750535
VDR	EGR2	1	0.060696652
IRF8	PRDM1	-1	0.060548003
ELK1	ETS1	1	0.060437457
NFATC1	ETS1	1	0.060390748
MYEF2	SMAD3	-1	0.060151929
UHRF1	CBFB	-1	0.059334573
CBFB	JUN	-1	0.059218131
MYEF2	PPARD	1	0.059013723
ELK1	FOS	1	0.058943088
CBFB	ELK1	1	0.058844426
MYEF2	SNAI1	1	0.058826758
NFYC	TFPT	1	0.058504495
ETS1	PPARG	1	0.058253598
NFYC	NFE2L1	1	0.057996833
RXRB	VDR	1	0.057867955
MYEF2	KLF13	-1	0.057316818
SPIB	EGR2	-1	0.057225569
UHRF1	RREB1	-1	0.057129245
UHRF1	UHRF1	1	0.057086793
TCF3	NFATC1	1	0.057024015
RXRB	SP3	1	0.056077213
UHRF1	SPI1	1	0.056046789
MYEF2	MAFB	-1	0.055992612
MYEF2	FOSB	1	0.055899786
LMO2	SPIB	-1	0.055815734
NFATC1	FOS	-1	0.055697234
NFYC	CEBPB	1	0.055614977
NFYC	SPIB	-1	0.055369249
TCF3	ELK1	1	0.055321207
LMO2	NFE2L1	1	0.05507305
NFYC	MYEF2	1	0.055069101
MYEF2	NFYA	1	0.054641036
NFYC	PPARG	-1	0.054469943
RXRB	PRDM1	1	0.054440421
LMO2	TFPT	-1	0.054381784
LMO2	MYEF2	1	0.054080033
RXRB	SMAD3	1	0.053360424
IRF8	SP3	-1	0.053163576
CEBPD	JUN	1	0.052728514
IRF8	PPARD	-1	0.052462465
IRF8	SMAD3	1	0.05235768
RXRB	SNAI1	-1	0.052246092
UHRF1	SMAD4	1	0.052242986
MYEF2	CBFB	1	0.052228446
UHRF1	FLI1	-1	0.052137636
UHRF1	RXRB	-1	0.052061215
UHRF1	TCFL5	-1	0.051464351
LMO2	CEBPB	-1	0.051264713
ETS1	SPIB	1	0.051192529
IRF8	SNAI1	1	0.050896545
IRF8	KLF13	-1	0.050562676
MYEF2	UHRF1	1	0.050064382
MYEF2	RREB1	1	0.050009963
UHRF1	IRF8	1	0.049906489
IRF8	MAFB	-1	0.04989944
RXRB	KLF13	1	0.049866912
ETS1	NFE2L1	1	0.049776236
IRF8	FOSB	1	0.04973917
UHRF1	NFYC	1	0.049449545
NFYC	SP3	1	0.04940292
UHRF1	STAT1	1	0.049339165
RXRB	PPARD	1	0.049275177
CEBPD	NFATC1	-1	0.049264465
ETS1	MYEF2	1	0.049245489
LMO2	VDR	-1	0.049110724
MYEF2	SPI1	-1	0.049102659
UHRF1	CEBPD	-1	0.048969623
NFYC	VDR	-1	0.048705585
UHRF1	RUNX1	1	0.048089455
ETS1	TFPT	-1	0.048075895
IRF8	NFYA	1	0.047790369
CEBPD	ELK1	-1	0.047702678
CBFB	PPARG	1	0.047615547
RXRB	NFYA	1	0.047606273
LMO2	PRDM1	-1	0.047323262
UHRF1	TCF3	1	0.047275665
RXRB	FOSB	1	0.046335571
RXRB	MAFB	-1	0.046321459
NFYC	SMAD3	1	0.046175098
CBFB	SNAI3	1	0.046093505
RXRB	CBFB	-1	0.046031059
TCF3	SNAI3	1	0.045990282
TCF3	BCL6	1	0.045966268
NFATC1	BCL6	-1	0.045938993
ETS1	CEBPB	-1	0.045879015
MYEF2	SMAD4	-1	0.045802405
UHRF1	NFATC2	-1	0.045676527
MYEF2	FLI1	1	0.045615053
MYEF2	RXRB	1	0.045557581
NFYC	SNAI1	1	0.045464147
UHRF1	HOXA10	1	0.045199309
IRF8	CBFB	1	0.045188039
MYEF2	TCFL5	1	0.045109357
UHRF1	TRIM28	1	0.045018164
ETS1	VDR	1	0.0449357
LMO2	SP3	1	0.044704572
CEBPD	BCL6	1	0.044694754
NFYC	PRDM1	1	0.044630309
ELK1	JUN	-1	0.044388626
ETS1	PRDM1	1	0.04425136
IRF8	UHRF1	1	0.043871332
NFATC1	NFATC1	1	0.04379771
MYEF2	IRF8	1	0.043789328
RXRB	RREB1	1	0.043618795
IRF8	RREB1	1	0.04355584
IRF8	SPI1	1	0.043463005
ELK1	NFATC1	-1	0.043447844
LMO2	SMAD3	1	0.043408394
ELK1	ELK1	1	0.043321853
MYEF2	NFYC	1	0.043246687
MYEF2	STAT1	1	0.043226729
RXRB	UHRF1	-1	0.043098663
MYEF2	CEBPD	1	0.04295406
NFYC	KLF13	1	0.042783041
LMO2	SNAI1	-1	0.042548699
ELK1	BCL6	-1	0.042487451
RREB1	FOS	1	0.042432156
UHRF1	LMO2	-1	0.04220908
MYEF2	RUNX1	1	0.042102164
LMO2	PPARD	1	0.0420708
UHRF1	HOXA13	-1	0.041892012
NFATC1	ELK1	-1	0.041459925
UHRF1	MYB	-1	0.041430122
RXRB	SPI1	-1	0.041407648
MYEF2	TCF3	-1	0.041393596
NFATC1	JUN	-1	0.041392578
NFYC	PPARD	1	0.041234872
NFYC	NFYA	1	0.040898261
LMO2	KLF13	1	0.040851388
RREB1	ETS1	-1	0.040616071
RXRB	SMAD4	1	0.040454806
RXRB	FLI1	1	0.040428781
IRF8	RXRB	-1	0.04014735
RXRB	TCFL5	-1	0.039993892
MYEF2	NFATC2	-1	0.03996235
LMO2	MAFB	-1	0.039912913
NFYC	CBFB	1	0.039800783
IRF8	SMAD4	-1	0.039779079
ETS1	SP3	1	0.039772053
LMO2	FOSB	-1	0.039705521
IRF8	FLI1	1	0.039608936
MYEF2	HOXA10	-1	0.039587648
MYEF2	TRIM28	-1	0.039488357
CBFB	SPIB	-1	0.039401519
RXRB	RXRB	1	0.039200661
IRF8	TCFL5	1	0.039111368
LMO2	NFYA	1	0.039045889
ETS1	SMAD3	1	0.039043152
ETS1	PPARD	1	0.038699445
NFYC	FOSB	-1	0.038670188
CEBPD	SNAI3	-1	0.038612394
